ENTRY	DEFINITION	EC
K06833	disintegrin and metalloproteinase domain-containing protein 2	3.4.24.-
K06834	disintegrin and metalloproteinase domain-containing protein 9	3.4.24.-
K06835	disintegrin and metalloproteinase domain-containing protein 12	3.4.24.-
K06836	disintegrin and metalloproteinase domain-containing protein 15	3.4.24.-
K06837	disintegrin and metalloproteinase domain-containing protein 23	3.4.24.-
K06838	slit 1
K06839	slit 2
K06840	semaphorin 3
K06841	semaphorin 5
K06842	semaphorin 6
K06843	netrin 1
K06844	netrin 3
K06845	netrin 4
K06846	lymphocyte antigen 6 complex locus protein D/E/F/G6/H
K06847	RGM domain family member B
K06848	hyaluronan and proteoglycan link protein 1
K06849	proteoglycan peptide core protein
K06850	slit 3
K06851	hyaluronan and proteoglycan link protein 2
K06852	hyaluronan and proteoglycan link protein 3
K06853	hyaluronan and proteoglycan link protein 4
K06854	thrombopoietin
K06855	mitogen-activated protein kinase 4/6	2.7.11.24
K06856	immunoglobulin heavy chain
K06857	tungstate transport system ATP-binding protein	7.3.2.6
K06858	vitamin B12 transport system substrate-binding protein
K06859	glucose-6-phosphate isomerase, archaeal	5.3.1.9
K06860	putative heme uptake system protein
K06861	lipopolysaccharide export system ATP-binding protein	7.5.2.5
K06862	energy-converting hydrogenase B subunit Q
K06863	5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase	6.3.4.23
K06864	pyridinium-3,5-biscarboxylic acid mononucleotide sulfurtransferase	4.4.1.37
K06865	ATPase
K06866	autonomous glycyl radical cofactor
K06867	uncharacterized protein
K06868	Sep-tRNA:Cys-tRNA synthetase	2.5.1.73
K06869	uncharacterized protein
K06870	uncharacterized protein
K06871	uncharacterized protein
K06872	uncharacterized protein
K06873	uncharacterized protein
K06874	zinc finger protein
K06875	programmed cell death protein 5
K06876	deoxyribodipyrimidine photolyase-related protein
K06877	DEAD/DEAH box helicase domain-containing protein
K06878	tRNA-binding protein
K06879	7-cyano-7-deazaguanine reductase	1.7.1.13
K06880	erythromycin esterase	3.1.1.-
K06881	bifunctional oligoribonuclease and PAP phosphatase NrnA	3.1.3.7 3.1.13.3
K06882	uncharacterized protein
K06883	uncharacterized protein
K06884	uncharacterized protein
K06885	uncharacterized protein
K06886	hemoglobin
K06887	uncharacterized protein
K06888	uncharacterized protein
K06889	uncharacterized protein
K06890	uncharacterized protein
K06891	ATP-dependent Clp protease adaptor protein ClpS
K06892	feruloyl-CoA 6-hydroxylase	1.14.11.61
K06893	uncharacterized protein
K06894	alpha-2-macroglobulin
K06895	L-lysine exporter family protein LysE/ArgO
K06896	maltose 6'-phosphate phosphatase	3.1.3.90
K06897	7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5'-phosphate synthase	2.5.1.105
K06898	pyridinium-3,5-biscarboxylic acid mononucleotide synthase	2.5.1.143
K06899	nucleoid-associated protein
K06900	uncharacterized protein
K06901	adenine/guanine/hypoxanthine permease
K06902	MFS transporter, UMF1 family
K06903	uncharacterized protein
K06904	uncharacterized protein
K06905	uncharacterized protein
K06906	uncharacterized protein
K06907	uncharacterized protein
K06908	uncharacterized protein
K06909	phage terminase large subunit
K06910	phosphatidylethanolamine-binding protein
K06911	quercetin 2,3-dioxygenase	1.13.11.24
K06912	alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase	1.14.11.-
K06913	uncharacterized protein
K06914	tyramine---L-glutamate ligase	6.3.4.24
K06915	uncharacterized protein
K06916	cell division protein ZapE
K06917	tRNA 2-selenouridine synthase	2.9.1.3
K06918	uncharacterized protein
K06919	putative DNA primase/helicase
K06920	7-cyano-7-deazaguanine synthase	6.3.4.20
K06921	uncharacterized protein
K06922	uncharacterized protein
K06923	uncharacterized protein
K06924	uncharacterized protein
K06925	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
K06926	uncharacterized protein
K06927	diphthine-ammonia ligase	6.3.1.14
K06928	nucleoside-triphosphatase	3.6.1.15
K06929	uncharacterized protein
K06930	HTH-type transcriptional regulator, bacterioopsin transcriptional activator and related proteins
K06931	uncharacterized protein
K06932	tRNA(Ile2)-agmatinylcytidine synthase	6.3.4.22
K06933	uncharacterized protein
K06934	uncharacterized protein
K06935	uncharacterized protein
K06936	archaeosine synthase beta-subunit	2.6.1.-
K06937	7,8-dihydro-6-hydroxymethylpterin dimethyltransferase	2.1.1.-
K06938	uncharacterized protein
K06939	uncharacterized protein
K06940	uncharacterized protein
K06941	23S rRNA (adenine2503-C2)-methyltransferase	2.1.1.192
K06942	ribosome-binding ATPase
K06943	nucleolar GTP-binding protein
K06944	uncharacterized protein
K06945	uncharacterized protein
K06946	uncharacterized protein
K06947	polynucleotide 5'-hydroxyl-kinase GRC3/NOL9	2.7.1.-
K06948	30S ribosome assembly GTPase
K06949	ribosome biogenesis GTPase / thiamine phosphate phosphatase	3.6.1.- 3.1.3.100
K06950	uncharacterized protein
K06951	uncharacterized protein
K06952	uncharacterized protein
K06953	uncharacterized protein
K06954	uncharacterized protein
K06956	uncharacterized protein
K06957	tRNA(Met) cytidine acetyltransferase	2.3.1.193
K06958	RNase adapter protein RapZ
K06959	protein Tex
K06960	uncharacterized protein
K06961	ribosomal RNA assembly protein
K06962	uncharacterized protein
K06963	tRNA acetyltransferase TAN1
K06964	uncharacterized protein
K06965	protein pelota
K06966	pyrimidine/purine-5'-nucleotide nucleosidase	3.2.2.10 3.2.2.-
K06967	tRNA (adenine22-N1)-methyltransferase	2.1.1.217
K06968	23S rRNA (cytidine2498-2'-O)-methyltransferase	2.1.1.186
K06969	23S rRNA (cytosine1962-C5)-methyltransferase	2.1.1.191
K06970	23S rRNA (adenine1618-N6)-methyltransferase	2.1.1.181
K06971	uncharacterized protein
K06972	presequence protease	3.4.24.-
K06973	uncharacterized protein
K06974	archaemetzincin	3.4.-.-
K06975	uncharacterized protein
K06976	uncharacterized protein
K06977	uncharacterized protein
K06978	uncharacterized protein
K06979	macrolide phosphotransferase
K06980	tRNA-modifying protein YgfZ
K06981	isopentenyl phosphate kinase	2.7.4.26
K06982	pantoate kinase	2.7.1.169
K06983	uncharacterized protein
K06984	beta-ribofuranosylaminobenzene 5'-phosphate synthase	2.4.2.54
K06985	aspartyl protease family protein
K06986	uncharacterized protein
K06987	uncharacterized protein
K06988	8-hydroxy-5-deazaflavin:NADPH oxidoreductase	1.5.1.40
K06989	aspartate dehydrogenase	1.4.1.21
K06990	MEMO1 family protein
K06991	uncharacterized protein
K06992	uncharacterized protein
K06993	ribonuclease H-related protein
K06994	putative drug exporter of the RND superfamily
K06995	uncharacterized protein
K06996	uncharacterized protein
K06997	PLP dependent protein
K06998	trans-2,3-dihydro-3-hydroxyanthranilate isomerase	5.3.3.17
K06999	phospholipase/carboxylesterase
K07000	uncharacterized protein
K07001	NTE family protein
K07002	uncharacterized protein
K07003	uncharacterized protein
K07004	uncharacterized protein
K07005	uncharacterized protein
K07006	uncharacterized protein
K07007	3-dehydro-bile acid Delta4,6-reductase	1.3.1.114
K07008	gamma-glutamyl hercynylcysteine S-oxide hydrolase	3.5.1.118
K07009	lipid II isoglutaminyl synthase (glutamine-hydrolysing)	6.3.5.13
K07010	putative glutamine amidotransferase
K07012	CRISPR-associated endonuclease/helicase Cas3	3.1.-.- 3.6.4.-
K07013	uncharacterized protein
K07014	uncharacterized protein
K07015	uncharacterized protein
K07016	CRISPR-associated protein Csm1
K07017	uncharacterized protein
K07018	uncharacterized protein
K07019	uncharacterized protein
K07020	uncharacterized protein
K07022	uncharacterized protein
K07023	putative hydrolases of HD superfamily
K07024	sucrose-6-phosphatase	3.1.3.24
K07025	putative hydrolase of the HAD superfamily
K07026	mannosyl-3-phosphoglycerate phosphatase	3.1.3.70
K07027	glycosyltransferase 2 family protein
K07028	uncharacterized protein
K07029	diacylglycerol kinase (ATP)	2.7.1.107
K07030	uncharacterized protein
K07031	D-glycero-alpha-D-manno-heptose-7-phosphate kinase	2.7.1.168
K07032	uncharacterized protein
K07033	uncharacterized protein
K07034	uncharacterized protein
K07035	uncharacterized protein
K07037	cyclic-di-AMP phosphodiesterase PgpH	3.1.4.-
K07038	inner membrane protein
K07039	uncharacterized protein
K07040	uncharacterized protein
K07041	uncharacterized protein
K07042	probable rRNA maturation factor
K07043	UTP pyrophosphatase	3.6.1.-
K07044	uncharacterized protein
K07045	uncharacterized protein
K07046	L-fuconolactonase	3.1.1.-
K07047	N-substituted formamide deformylase	3.5.1.91
K07048	phosphotriesterase-related protein
K07049	TatD-related deoxyribonuclease
K07050	misacylated tRNA(Ala) deacylase	3.1.1.-
K07051	uncharacterized protein
K07052	uncharacterized protein
K07053	3',5'-nucleoside bisphosphate phosphatase	3.1.3.97
K07054	uncharacterized protein
K07055	tRNA wybutosine-synthesizing protein 2	2.5.1.114
K07056	16S rRNA (cytidine1402-2'-O)-methyltransferase	2.1.1.198
K07057	N4-bis(aminopropyl)spermidine synthase	2.5.1.128
K07058	membrane protein
K07059	uncharacterized protein
K07060	endoribonuclease Nob1	3.1.-.-
K07061	CRISPR-associated protein Cmr1
K07062	toxin FitB	3.1.-.-
K07063	uncharacterized protein
K07064	uncharacterized protein
K07065	uncharacterized protein
K07066	uncharacterized protein
K07067	diadenylate cyclase	2.7.7.85
K07068	uncharacterized protein
K07069	uncharacterized protein
K07070	uncharacterized protein
K07071	uncharacterized protein
K07072	(4-(4-[2-(gamma-L-glutamylamino)ethyl]phenoxymethyl)furan-2-yl)methanamine synthase	2.5.1.131
K07073	uncharacterized protein
K07074	uncharacterized protein
K07075	uncharacterized protein
K07076	uncharacterized protein
K07077	uncharacterized protein
K07078	uncharacterized protein
K07079	uncharacterized protein
K07080	uncharacterized protein
K07081	putative periplasmic solute-binding protein
K07082	UPF0755 protein
K07083	putative periplasmic solute-binding protein
K07084	putative amino acid transporter
K07085	putative transport protein
K07086	uncharacterized protein
K07087	uncharacterized protein
K07089	uncharacterized protein
K07090	uncharacterized protein
K07091	lipopolysaccharide export system permease protein
K07092	uncharacterized protein
K07093	uncharacterized protein
K07094	heptaprenylglyceryl phosphate synthase	2.5.1.-
K07095	uncharacterized protein
K07096	uncharacterized protein
K07097	uncharacterized protein
K07098	uncharacterized protein
K07099	uncharacterized protein
K07100	putative phosphoribosyl transferase
K07101	uncharacterized protein
K07102	N-acetylmuramate 1-kinase	2.7.1.221
K07103	uncharacterized protein
K07104	catechol 2,3-dioxygenase	1.13.11.2
K07105	uncharacterized protein
K07106	N-acetylmuramic acid 6-phosphate etherase	4.2.1.126
K07107	acyl-CoA thioester hydrolase	3.1.2.-
K07108	uncharacterized protein
K07109	uncharacterized protein
K07110	XRE family transcriptional regulator, fatty acid utilization regulator
K07111	uncharacterized protein
K07112	uncharacterized protein
K07113	UPF0716 protein FxsA
K07114	Ca-activated chloride channel homolog
K07115	23S rRNA (adenine2030-N6)-methyltransferase	2.1.1.266
K07116	acyl-homoserine-lactone acylase	3.5.1.97
K07117	uncharacterized protein
K07118	uncharacterized protein
K07119	prostaglandin reductase 3	1.3.1.48
K07120	uncharacterized protein
K07121	uncharacterized protein
K07122	phospholipid transport system transporter-binding protein
K07123	uncharacterized protein
K07124	uncharacterized protein
K07125	uncharacterized protein
K07126	uncharacterized protein
K07127	5-hydroxyisourate hydrolase	3.5.2.17
K07128	uncharacterized protein
K07129	uncharacterized protein
K07130	arylformamidase	3.5.1.9
K07131	uncharacterized protein
K07132	ATP-dependent target DNA activator
K07133	uncharacterized protein
K07134	uncharacterized protein
K07135	uncharacterized protein
K07136	uncharacterized protein
K07137	uncharacterized protein
K07138	uncharacterized protein
K07139	uncharacterized protein
K07140	uncharacterized protein
K07141	molybdenum cofactor cytidylyltransferase	2.7.7.76
K07142	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	2.7.6.3
K07143	UPF0148 protein
K07144	5-(aminomethyl)-3-furanmethanol phosphate kinase	2.7.4.31
K07145	heme oxygenase (staphylobilin-producing)	1.14.99.48
K07146	UPF0176 protein
K07147	methionine sulfoxide reductase catalytic subunit	1.8.-.-
K07148	uncharacterized protein
K07149	uncharacterized protein
K07150	uncharacterized protein
K07151	dolichyl-diphosphooligosaccharide---protein glycosyltransferase	2.4.99.18
K07152	protein SCO1
K07153	high frequency lysogenization protein
K07154	serine/threonine-protein kinase HipA	2.7.11.1
K07155	quercetin 2,3-dioxygenase	1.13.11.24
K07156	copper resistance protein C
K07157	uncharacterized protein
K07158	uncharacterized protein
K07159	uncharacterized protein
K07160	5-oxoprolinase (ATP-hydrolysing) subunit A	3.5.2.9
K07161	uncharacterized protein
K07162	uncharacterized protein
K07163	uncharacterized protein
K07164	uncharacterized protein
K07165	transmembrane sensor
K07166	ACT domain-containing protein
K07167	putative transcriptional regulator
K07168	CBS domain-containing membrane protein
K07169	FHA domain-containing protein
K07171	mRNA interferase MazF	3.1.-.-
K07172	antitoxin MazE
K07173	S-ribosylhomocysteine lyase	4.4.1.21
K07175	PhoH-like ATPase
K07176	putative serine/threonine protein kinase
K07177	Lon-like protease
K07178	RIO kinase 1	2.7.11.1
K07179	RIO kinase 2	2.7.11.1
K07180	serine protein kinase
K07181	c-di-GMP phosphodiesterase	3.1.4.52
K07182	CBS domain-containing protein
K07183	two-component system, response regulator / RNA-binding antiterminator
K07184	SH3 domain protein
K07186	membrane protein
K07187	insulin receptor substrate 2
K07188	hormone-sensitive lipase	3.1.1.79
K07189	protein phosphatase 1 regulatory subunit 3A/B/C/D/E
K07190	phosphorylase kinase alpha/beta subunit
K07191	MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 4
K07192	flotillin
K07193	SH2B adapter protein 2
K07194	Ras homolog gene family, member Q
K07195	exocyst complex component 7
K07196	thyroid hormone receptor interactor 10
K07197	sterol regulatory element-binding transcription factor 1
K07198	5'-AMP-activated protein kinase, catalytic alpha subunit	2.7.11.11
K07199	5'-AMP-activated protein kinase, regulatory beta subunit
K07200	5'-AMP-activated protein kinase, regulatory gamma subunit
K07201	forkhead box protein O1
K07202	alpha peroxisome proliferator-activated receptor gamma coactivator 1-alpha
K07203	serine/threonine-protein kinase mTOR	2.7.11.1
K07204	regulatory associated protein of mTOR
K07205	eukaryotic translation initiation factor 4E binding protein 1
K07206	tuberous sclerosis 1
K07207	tuberous sclerosis 2
K07208	Ras homolog enriched in brain
K07209	inhibitor of nuclear factor kappa-B kinase subunit beta	2.7.11.10
K07210	inhibitor of nuclear factor kappa-B kinase subunit gamma
K07211	inhibitor of nuclear factor kappa-B kinase subunit epsilon	2.7.11.10
K07213	copper chaperone
K07214	iron(III)-enterobactin esterase	3.1.1.108
K07215	heme oxygenase (biliverdin-IX-beta and delta-forming)	1.14.99.58
K07216	hemerythrin
K07217	Mn-containing catalase
K07218	nitrous oxidase accessory protein
K07219	putative molybdopterin biosynthesis protein
K07220	uncharacterized protein
K07221	phosphate-selective porin OprO and OprP
K07222	putative flavoprotein involved in K+ transport
K07223	porphyrinogen peroxidase	1.11.1.-
K07224	iron uptake system component EfeO
K07225	putative hemin transport protein
K07226	heme iron utilization protein
K07227	heme iron utilization protein
K07228	TrkA domain protein
K07229	ferric-chelate reductase (NADPH)	1.16.1.9
K07230	periplasmic iron binding protein
K07231	putative iron-regulated protein
K07232	glutathione-specific gamma-glutamylcyclotransferase	4.3.2.7
K07233	copper resistance protein B
K07234	uncharacterized protein involved in response to NO
K07235	tRNA 2-thiouridine synthesizing protein D	2.8.1.-
K07236	tRNA 2-thiouridine synthesizing protein C
K07237	tRNA 2-thiouridine synthesizing protein B
